condition,trial_index_1based,trigger_label,source,mixture,role_if_attended,band,status,source_n,mixture_n,stored_masked_n,stored_overt_n,align_status,max_abs_error_masked,max_abs_error_overt,max_abs_error_reconstruction,negative_masked_count,negative_overt_count,masked_exceeds_source_count,overt_exceeds_mix_count,overt_exceeds_source_count,masked_key,overt_key
binaural,2,trigger2,male_2,List_2_stim_2,ignore,4356-7285,failed_numeric_check,31534,32233,32233,32233,source_padded_699,2.3219783997774357e-06,1.9057510201037076e-06,2.5183669691841715e-06,0,0,1873,4794,2934,List_2_stim_2/male_2/freq_bins/4356-7285,List_2_stim_2/male_2/freq_bins/4356-7285
binaural,2,trigger2,male_2,List_2_stim_2,ignore,7537-12498,failed_numeric_check,31534,32233,32233,32233,source_padded_699,1.8998295203687121e-06,1.902446101098576e-06,2.4870566193158083e-06,0,0,1538,5140,2906,List_2_stim_2/male_2/freq_bins/7537-12498,List_2_stim_2/male_2/freq_bins/7537-12498
binaural,2,trigger2,male_2,List_2_stim_2,ignore,12924-21328,failed_numeric_check,31534,32233,32233,32233,source_padded_699,1.8917367157200715e-06,1.8913421087063398e-06,2.1379967236612174e-06,0,0,1193,5627,3036,List_2_stim_2/male_2/freq_bins/12924-21328,List_2_stim_2/male_2/freq_bins/12924-21328
dichotic,3,trigger1,male_3,List_1_stim_3,attend,100-310,failed_numeric_check,31478,31478,31478,31478,same_length,1.9041626586613347e-06,1.8939643453563804e-06,2.608179308083436e-06,0,0,1375,5561,2358,List_1_stim_3/male_3/freq_bins/100-310,List_1_stim_3/male_3/freq_bins/100-310
dichotic,3,trigger1,male_3,List_1_stim_3,attend,328-684,failed_numeric_check,31478,31478,31478,31478,same_length,1.897636380476797e-06,1.8825056287141706e-06,2.811045902717524e-06,0,0,1323,5558,2655,List_1_stim_3/male_3/freq_bins/328-684,List_1_stim_3/male_3/freq_bins/328-684
dichotic,3,trigger1,male_3,List_1_stim_3,attend,715-1317,failed_numeric_check,31478,31478,31478,31478,same_length,1.8814886431073319e-06,1.8981830791631182e-06,2.57140563064695e-06,0,0,1362,5827,2711,List_1_stim_3/male_3/freq_bins/715-1317,List_1_stim_3/male_3/freq_bins/715-1317
dichotic,3,trigger1,male_3,List_1_stim_3,attend,1369-2390,failed_numeric_check,31478,31478,31478,31478,same_length,1.900470195437265e-06,1.8985706091712018e-06,2.803920708061014e-06,0,0,1441,5743,2773,List_1_stim_3/male_3/freq_bins/1369-2390,List_1_stim_3/male_3/freq_bins/1369-2390
dichotic,3,trigger1,male_3,List_1_stim_3,attend,2478-4207,failed_numeric_check,31478,31478,31478,31478,same_length,1.9015832535274058e-06,1.8946014463949723e-06,2.171168596021289e-06,0,0,1474,5561,2811,List_1_stim_3/male_3/freq_bins/2478-4207,List_1_stim_3/male_3/freq_bins/2478-4207
dichotic,3,trigger1,male_3,List_1_stim_3,attend,4356-7285,failed_numeric_check,31478,31478,31478,31478,same_length,2.1210139919958237e-06,1.8976587767838282e-06,2.5760966195775836e-06,0,0,1681,4985,2988,List_1_stim_3/male_3/freq_bins/4356-7285,List_1_stim_3/male_3/freq_bins/4356-7285
dichotic,3,trigger1,male_3,List_1_stim_3,attend,7537-12498,failed_numeric_check,31478,31478,31478,31478,same_length,1.905532521107034e-06,1.9012060192835634e-06,2.6252012972349803e-06,0,0,1484,5126,2891,List_1_stim_3/male_3/freq_bins/7537-12498,List_1_stim_3/male_3/freq_bins/7537-12498
