condition,trial_index_1based,trigger_label,source,mixture,role_if_attended,band,status,source_n,mixture_n,stored_masked_n,stored_overt_n,align_status,max_abs_error_masked,max_abs_error_overt,max_abs_error_reconstruction,negative_masked_count,negative_overt_count,masked_exceeds_source_count,overt_exceeds_mix_count,overt_exceeds_source_count,masked_key,overt_key
diotic,4,trigger2,male_4,List_2_stim_4,ignore,100-310,failed_numeric_check,30200,31739,31739,31739,source_padded_1539,1.850479520726367e-06,1.8723489674243865e-06,2.372199546130105e-06,0,0,1489,4575,2890,List_2_stim_4/male_4/freq_bins/100-310,List_2_stim_4/male_4/freq_bins/100-310
diotic,4,trigger2,male_4,List_2_stim_4,ignore,328-684,failed_numeric_check,30200,31739,31739,31739,source_padded_1539,1.8575842304358048e-06,1.9016642198721456e-06,2.6822344807442278e-06,0,0,1499,4672,3016,List_2_stim_4/male_4/freq_bins/328-684,List_2_stim_4/male_4/freq_bins/328-684
diotic,4,trigger2,male_4,List_2_stim_4,ignore,715-1317,failed_numeric_check,30200,31739,31739,31739,source_padded_1539,1.862887657466672e-06,1.9055419571145649e-06,2.2104726156157994e-06,0,0,1424,4938,3262,List_2_stim_4/male_4/freq_bins/715-1317,List_2_stim_4/male_4/freq_bins/715-1317
diotic,4,trigger2,male_4,List_2_stim_4,ignore,1369-2390,failed_numeric_check,30200,31739,31739,31739,source_padded_1539,2.790904304106334e-06,1.9067367702518823e-06,2.7901905070848443e-06,0,0,1449,4837,3240,List_2_stim_4/male_4/freq_bins/1369-2390,List_2_stim_4/male_4/freq_bins/1369-2390
diotic,4,trigger2,male_4,List_2_stim_4,ignore,2478-4207,failed_numeric_check,30200,31739,31739,31739,source_padded_1539,1.9060374043533557e-06,1.9030334641456648e-06,2.6953374572258326e-06,0,0,1591,4794,3181,List_2_stim_4/male_4/freq_bins/2478-4207,List_2_stim_4/male_4/freq_bins/2478-4207
diotic,4,trigger2,male_4,List_2_stim_4,ignore,4356-7285,failed_numeric_check,30200,31739,31739,31739,source_padded_1539,1.9062725442609008e-06,1.9069428844886716e-06,2.6482650810066843e-06,0,0,1822,4367,3128,List_2_stim_4/male_4/freq_bins/4356-7285,List_2_stim_4/male_4/freq_bins/4356-7285
diotic,4,trigger2,male_4,List_2_stim_4,ignore,7537-12498,failed_numeric_check,30200,31739,31739,31739,source_padded_1539,1.905002577018422e-06,1.907272192624987e-06,2.611569854593654e-06,0,0,1455,4815,2880,List_2_stim_4/male_4/freq_bins/7537-12498,List_2_stim_4/male_4/freq_bins/7537-12498
diotic,4,trigger2,male_4,List_2_stim_4,ignore,12924-21328,failed_numeric_check,30200,31739,31739,31739,source_padded_1539,1.884231359383648e-06,1.9047450194875637e-06,2.0329446428490883e-06,0,0,1010,5112,3337,List_2_stim_4/male_4/freq_bins/12924-21328,List_2_stim_4/male_4/freq_bins/12924-21328
diotic,10,trigger1,female_10,List_1_stim_10,attend,100-310,failed_numeric_check,30622,30622,30622,30622,same_length,1.8408906967692928e-06,1.891079733695733e-06,1.9297133704299085e-06,0,0,1560,5407,2420,List_1_stim_10/female_10/freq_bins/100-310,List_1_stim_10/female_10/freq_bins/100-310
diotic,10,trigger1,female_10,List_1_stim_10,attend,328-684,failed_numeric_check,30622,30622,30622,30622,same_length,1.8894753068821046e-06,1.896565002823536e-06,2.5811246899820617e-06,0,0,1458,5476,2656,List_1_stim_10/female_10/freq_bins/328-684,List_1_stim_10/female_10/freq_bins/328-684
