condition,trial_index_1based,trigger_label,source,mixture,role,band,status,source_n,mixture_n,masked_n,overt_n,align_status,source_key,mixture_key,masked_key,overt_key,max_abs_error_masked,max_abs_error_overt,max_abs_error_reconstruction,source_min,mixture_min,masked_min,overt_min
diotic,4,trigger2,male_4,List_2_stim_4,ignore,328-684,ok,30200,31739,31739,31739,source_padded_1539,male_4/freq_bins/328-684Hz,List_2_stim_4/freq_bins/328-684Hz,List_2_stim_4/male_4/freq_bins/328-684,List_2_stim_4/male_4/freq_bins/328-684,1.8575842304358048e-06,1.9016642198721456e-06,2.6822344807442278e-06,0.0,0.0,0.0,0.0
diotic,4,trigger2,male_4,List_2_stim_4,ignore,715-1317,ok,30200,31739,31739,31739,source_padded_1539,male_4/freq_bins/715-1317Hz,List_2_stim_4/freq_bins/715-1317Hz,List_2_stim_4/male_4/freq_bins/715-1317,List_2_stim_4/male_4/freq_bins/715-1317,1.862887657466672e-06,1.9055419571145649e-06,2.2104726156157994e-06,0.0,0.0,0.0,0.0
diotic,4,trigger2,male_4,List_2_stim_4,ignore,1369-2390,ok,30200,31739,31739,31739,source_padded_1539,male_4/freq_bins/1369-2390Hz,List_2_stim_4/freq_bins/1369-2390Hz,List_2_stim_4/male_4/freq_bins/1369-2390,List_2_stim_4/male_4/freq_bins/1369-2390,2.790904304106334e-06,1.9067367702518823e-06,2.7901905070848443e-06,0.0,0.0,0.0,0.0
diotic,4,trigger2,male_4,List_2_stim_4,ignore,2478-4207,ok,30200,31739,31739,31739,source_padded_1539,male_4/freq_bins/2478-4207Hz,List_2_stim_4/freq_bins/2478-4207Hz,List_2_stim_4/male_4/freq_bins/2478-4207,List_2_stim_4/male_4/freq_bins/2478-4207,1.9060374043533557e-06,1.9030334641456648e-06,2.6953374572258326e-06,0.0,0.0,0.0,0.0
diotic,4,trigger2,male_4,List_2_stim_4,ignore,4356-7285,ok,30200,31739,31739,31739,source_padded_1539,male_4/freq_bins/4356-7285Hz,List_2_stim_4/freq_bins/4356-7285Hz,List_2_stim_4/male_4/freq_bins/4356-7285,List_2_stim_4/male_4/freq_bins/4356-7285,1.9062725442609008e-06,1.9069428844886716e-06,2.6482650810066843e-06,0.0,0.0,0.0,0.0
diotic,4,trigger2,male_4,List_2_stim_4,ignore,7537-12498,ok,30200,31739,31739,31739,source_padded_1539,male_4/freq_bins/7537-12498Hz,List_2_stim_4/freq_bins/7537-12498Hz,List_2_stim_4/male_4/freq_bins/7537-12498,List_2_stim_4/male_4/freq_bins/7537-12498,1.905002577018422e-06,1.907272192624987e-06,2.611569854593654e-06,0.0,0.0,0.0,0.0
diotic,4,trigger2,male_4,List_2_stim_4,ignore,12924-21328,ok,30200,31739,31739,31739,source_padded_1539,male_4/freq_bins/12924-21328Hz,List_2_stim_4/freq_bins/12924-21328Hz,List_2_stim_4/male_4/freq_bins/12924-21328,List_2_stim_4/male_4/freq_bins/12924-21328,1.884231359383648e-06,1.9047450194875637e-06,2.0329446428490883e-06,0.0,0.0,0.0,0.0
diotic,10,trigger1,female_10,List_1_stim_10,attend,100-310,ok,30622,30622,30622,30622,same_length,female_10/freq_bins/100-310Hz,List_1_stim_10/freq_bins/100-310Hz,List_1_stim_10/female_10/freq_bins/100-310,List_1_stim_10/female_10/freq_bins/100-310,1.8408906967692928e-06,1.891079733695733e-06,1.9297133704299085e-06,0.0,0.0,0.0,0.0
diotic,10,trigger1,female_10,List_1_stim_10,attend,328-684,ok,30622,30622,30622,30622,same_length,female_10/freq_bins/328-684Hz,List_1_stim_10/freq_bins/328-684Hz,List_1_stim_10/female_10/freq_bins/328-684,List_1_stim_10/female_10/freq_bins/328-684,1.8894753068821046e-06,1.896565002823536e-06,2.5811246899820617e-06,0.0,0.0,0.0,0.0
diotic,10,trigger1,female_10,List_1_stim_10,attend,715-1317,ok,30622,30622,30622,30622,same_length,female_10/freq_bins/715-1317Hz,List_1_stim_10/freq_bins/715-1317Hz,List_1_stim_10/female_10/freq_bins/715-1317,List_1_stim_10/female_10/freq_bins/715-1317,1.9026849997771933e-06,1.902392490649163e-06,2.524947447568593e-06,0.0,0.0,0.0,0.0
diotic,10,trigger1,female_10,List_1_stim_10,attend,1369-2390,ok,30622,30622,30622,30622,same_length,female_10/freq_bins/1369-2390Hz,List_1_stim_10/freq_bins/1369-2390Hz,List_1_stim_10/female_10/freq_bins/1369-2390,List_1_stim_10/female_10/freq_bins/1369-2390,1.8890877058197475e-06,1.8974205246991005e-06,2.4045302566833016e-06,0.0,0.0,0.0,0.0
diotic,10,trigger1,female_10,List_1_stim_10,attend,2478-4207,ok,30622,30622,30622,30622,same_length,female_10/freq_bins/2478-4207Hz,List_1_stim_10/freq_bins/2478-4207Hz,List_1_stim_10/female_10/freq_bins/2478-4207,List_1_stim_10/female_10/freq_bins/2478-4207,3.4526746617302706e-06,1.8951706124425982e-06,3.439209862676762e-06,0.0,0.0,0.0,0.0
diotic,10,trigger1,female_10,List_1_stim_10,attend,4356-7285,ok,30622,30622,30622,30622,same_length,female_10/freq_bins/4356-7285Hz,List_1_stim_10/freq_bins/4356-7285Hz,List_1_stim_10/female_10/freq_bins/4356-7285,List_1_stim_10/female_10/freq_bins/4356-7285,3.41075087817444e-06,1.9070850356683877e-06,3.428251304171681e-06,0.0,0.0,0.0,0.0
diotic,10,trigger1,female_10,List_1_stim_10,attend,7537-12498,ok,30622,30622,30622,30622,same_length,female_10/freq_bins/7537-12498Hz,List_1_stim_10/freq_bins/7537-12498Hz,List_1_stim_10/female_10/freq_bins/7537-12498,List_1_stim_10/female_10/freq_bins/7537-12498,1.9008118528063278e-06,1.9072281673970792e-06,2.7262955768492247e-06,0.0,0.0,0.0,0.0
diotic,10,trigger1,female_10,List_1_stim_10,attend,12924-21328,ok,30622,30622,30622,30622,same_length,female_10/freq_bins/12924-21328Hz,List_1_stim_10/freq_bins/12924-21328Hz,List_1_stim_10/female_10/freq_bins/12924-21328,List_1_stim_10/female_10/freq_bins/12924-21328,1.8823384166921642e-06,9.488323513551222e-07,1.8843609765895053e-06,0.0,0.0,0.0,0.0
diotic,10,trigger1,male_10,List_1_stim_10,ignore,100-310,ok,30946,30622,30622,30622,source_truncated_324,male_10/freq_bins/100-310Hz,List_1_stim_10/freq_bins/100-310Hz,List_1_stim_10/male_10/freq_bins/100-310,List_1_stim_10/male_10/freq_bins/100-310,1.8185362549161255e-06,1.905633538967777e-06,2.6239621675472335e-06,0.0,0.0,0.0,0.0
diotic,10,trigger1,male_10,List_1_stim_10,ignore,328-684,ok,30946,30622,30622,30622,source_truncated_324,male_10/freq_bins/328-684Hz,List_1_stim_10/freq_bins/328-684Hz,List_1_stim_10/male_10/freq_bins/328-684,List_1_stim_10/male_10/freq_bins/328-684,1.9073265207225631e-06,1.9005092681823044e-06,2.348797188744811e-06,0.0,0.0,0.0,0.0
diotic,10,trigger1,male_10,List_1_stim_10,ignore,715-1317,ok,30946,30622,30622,30622,source_truncated_324,male_10/freq_bins/715-1317Hz,List_1_stim_10/freq_bins/715-1317Hz,List_1_stim_10/male_10/freq_bins/715-1317,List_1_stim_10/male_10/freq_bins/715-1317,1.8943483084399304e-06,1.9068075260975093e-06,2.485159967591244e-06,0.0,0.0,0.0,0.0
diotic,10,trigger1,male_10,List_1_stim_10,ignore,1369-2390,ok,30946,30622,30622,30622,source_truncated_324,male_10/freq_bins/1369-2390Hz,List_1_stim_10/freq_bins/1369-2390Hz,List_1_stim_10/male_10/freq_bins/1369-2390,List_1_stim_10/male_10/freq_bins/1369-2390,1.8923646010193806e-06,1.8706762290321421e-06,2.3072281436498088e-06,0.0,0.0,0.0,0.0
diotic,10,trigger1,male_10,List_1_stim_10,ignore,2478-4207,ok,30946,30622,30622,30622,source_truncated_324,male_10/freq_bins/2478-4207Hz,List_1_stim_10/freq_bins/2478-4207Hz,List_1_stim_10/male_10/freq_bins/2478-4207,List_1_stim_10/male_10/freq_bins/2478-4207,1.8522124420883301e-06,1.9003366062975147e-06,2.37047967033277e-06,0.0,0.0,0.0,0.0
diotic,10,trigger1,male_10,List_1_stim_10,ignore,4356-7285,ok,30946,30622,30622,30622,source_truncated_324,male_10/freq_bins/4356-7285Hz,List_1_stim_10/freq_bins/4356-7285Hz,List_1_stim_10/male_10/freq_bins/4356-7285,List_1_stim_10/male_10/freq_bins/4356-7285,2.591154128595008e-06,1.9054824349495902e-06,2.583349683504821e-06,0.0,0.0,0.0,0.0
diotic,10,trigger1,male_10,List_1_stim_10,ignore,7537-12498,ok,30946,30622,30622,30622,source_truncated_324,male_10/freq_bins/7537-12498Hz,List_1_stim_10/freq_bins/7537-12498Hz,List_1_stim_10/male_10/freq_bins/7537-12498,List_1_stim_10/male_10/freq_bins/7537-12498,1.8959496088655214e-06,1.8926316016631972e-06,2.3398756994197356e-06,0.0,0.0,0.0,0.0
diotic,10,trigger1,male_10,List_1_stim_10,ignore,12924-21328,ok,30946,30622,30622,30622,source_truncated_324,male_10/freq_bins/12924-21328Hz,List_1_stim_10/freq_bins/12924-21328Hz,List_1_stim_10/male_10/freq_bins/12924-21328,List_1_stim_10/male_10/freq_bins/12924-21328,1.233940061240446e-06,1.9064375038624348e-06,2.102350045163348e-06,0.0,0.0,0.0,0.0
diotic,10,trigger2,male_10,List_2_stim_10,attend,100-310,ok,30946,30946,30946,30946,same_length,male_10/freq_bins/100-310Hz,List_2_stim_10/freq_bins/100-310Hz,List_2_stim_10/male_10/freq_bins/100-310,List_2_stim_10/male_10/freq_bins/100-310,1.804427839147138e-06,1.9036723131193867e-06,2.510935829036498e-06,0.0,0.0,0.0,0.0
diotic,10,trigger2,male_10,List_2_stim_10,attend,328-684,ok,30946,30946,30946,30946,same_length,male_10/freq_bins/328-684Hz,List_2_stim_10/freq_bins/328-684Hz,List_2_stim_10/male_10/freq_bins/328-684,List_2_stim_10/male_10/freq_bins/328-684,1.8715164031846143e-06,1.883207296771161e-06,2.608229280554042e-06,0.0,0.0,0.0,0.0
diotic,10,trigger2,male_10,List_2_stim_10,attend,715-1317,ok,30946,30946,30946,30946,same_length,male_10/freq_bins/715-1317Hz,List_2_stim_10/freq_bins/715-1317Hz,List_2_stim_10/male_10/freq_bins/715-1317,List_2_stim_10/male_10/freq_bins/715-1317,1.8676922195481893e-06,1.8918208866125497e-06,2.6246638498150787e-06,0.0,0.0,0.0,0.0
diotic,10,trigger2,male_10,List_2_stim_10,attend,1369-2390,ok,30946,30946,30946,30946,same_length,male_10/freq_bins/1369-2390Hz,List_2_stim_10/freq_bins/1369-2390Hz,List_2_stim_10/male_10/freq_bins/1369-2390,List_2_stim_10/male_10/freq_bins/1369-2390,1.871024920774289e-06,1.8979632869786656e-06,2.4215376868141902e-06,0.0,0.0,0.0,0.0
diotic,10,trigger2,male_10,List_2_stim_10,attend,2478-4207,ok,30946,30946,30946,30946,same_length,male_10/freq_bins/2478-4207Hz,List_2_stim_10/freq_bins/2478-4207Hz,List_2_stim_10/male_10/freq_bins/2478-4207,List_2_stim_10/male_10/freq_bins/2478-4207,1.8830814525472306e-06,1.8991795442957482e-06,2.5920881938645834e-06,0.0,0.0,0.0,0.0
diotic,10,trigger2,male_10,List_2_stim_10,attend,4356-7285,ok,30946,30946,30946,30946,same_length,male_10/freq_bins/4356-7285Hz,List_2_stim_10/freq_bins/4356-7285Hz,List_2_stim_10/male_10/freq_bins/4356-7285,List_2_stim_10/male_10/freq_bins/4356-7285,3.6667376406285257e-06,1.9069158270212938e-06,3.7802010410814546e-06,0.0,0.0,0.0,0.0
diotic,10,trigger2,male_10,List_2_stim_10,attend,7537-12498,ok,30946,30946,30946,30946,same_length,male_10/freq_bins/7537-12498Hz,List_2_stim_10/freq_bins/7537-12498Hz,List_2_stim_10/male_10/freq_bins/7537-12498,List_2_stim_10/male_10/freq_bins/7537-12498,1.9070416286126601e-06,1.8967052781704297e-06,2.454875811963575e-06,0.0,0.0,0.0,0.0
diotic,10,trigger2,male_10,List_2_stim_10,attend,12924-21328,ok,30946,30946,30946,30946,same_length,male_10/freq_bins/12924-21328Hz,List_2_stim_10/freq_bins/12924-21328Hz,List_2_stim_10/male_10/freq_bins/12924-21328,List_2_stim_10/male_10/freq_bins/12924-21328,9.528917850332164e-07,1.905421271430896e-06,2.1124342310940847e-06,0.0,0.0,0.0,0.0
diotic,10,trigger2,female_10,List_2_stim_10,ignore,100-310,ok,30622,30946,30946,30946,source_padded_324,female_10/freq_bins/100-310Hz,List_2_stim_10/freq_bins/100-310Hz,List_2_stim_10/female_10/freq_bins/100-310,List_2_stim_10/female_10/freq_bins/100-310,1.8549473921325443e-06,1.8912554864414233e-06,1.8896840714432983e-06,0.0,0.0,0.0,0.0
diotic,10,trigger2,female_10,List_2_stim_10,ignore,328-684,ok,30622,30946,30946,30946,source_padded_324,female_10/freq_bins/328-684Hz,List_2_stim_10/freq_bins/328-684Hz,List_2_stim_10/female_10/freq_bins/328-684,List_2_stim_10/female_10/freq_bins/328-684,1.8894753068821046e-06,1.9054104498650304e-06,2.5811246899820617e-06,0.0,0.0,0.0,0.0
diotic,10,trigger2,female_10,List_2_stim_10,ignore,715-1317,ok,30622,30946,30946,30946,source_padded_324,female_10/freq_bins/715-1317Hz,List_2_stim_10/freq_bins/715-1317Hz,List_2_stim_10/female_10/freq_bins/715-1317,List_2_stim_10/female_10/freq_bins/715-1317,1.8845837388425934e-06,1.9018114656432772e-06,2.3617608633230702e-06,0.0,0.0,0.0,0.0
diotic,10,trigger2,female_10,List_2_stim_10,ignore,1369-2390,ok,30622,30946,30946,30946,source_padded_324,female_10/freq_bins/1369-2390Hz,List_2_stim_10/freq_bins/1369-2390Hz,List_2_stim_10/female_10/freq_bins/1369-2390,List_2_stim_10/female_10/freq_bins/1369-2390,1.8935109267204098e-06,1.872261947255538e-06,2.4045302566833016e-06,0.0,0.0,0.0,0.0
diotic,10,trigger2,female_10,List_2_stim_10,ignore,2478-4207,ok,30622,30946,30946,30946,source_padded_324,female_10/freq_bins/2478-4207Hz,List_2_stim_10/freq_bins/2478-4207Hz,List_2_stim_10/female_10/freq_bins/2478-4207,List_2_stim_10/female_10/freq_bins/2478-4207,1.8976920443947165e-06,1.9019216495053115e-06,2.305767800692138e-06,0.0,0.0,0.0,0.0
diotic,10,trigger2,female_10,List_2_stim_10,ignore,4356-7285,ok,30622,30946,30946,30946,source_padded_324,female_10/freq_bins/4356-7285Hz,List_2_stim_10/freq_bins/4356-7285Hz,List_2_stim_10/female_10/freq_bins/4356-7285,List_2_stim_10/female_10/freq_bins/4356-7285,3.5058729395132104e-06,1.905869211782374e-06,3.912795051519424e-06,0.0,0.0,0.0,0.0
diotic,10,trigger2,female_10,List_2_stim_10,ignore,7537-12498,ok,30622,30946,30946,30946,source_padded_324,female_10/freq_bins/7537-12498Hz,List_2_stim_10/freq_bins/7537-12498Hz,List_2_stim_10/female_10/freq_bins/7537-12498,List_2_stim_10/female_10/freq_bins/7537-12498,1.9071555641403393e-06,1.8981613081336945e-06,2.4583041025039165e-06,0.0,0.0,0.0,0.0
diotic,10,trigger2,female_10,List_2_stim_10,ignore,12924-21328,ok,30622,30946,30946,30946,source_padded_324,female_10/freq_bins/12924-21328Hz,List_2_stim_10/freq_bins/12924-21328Hz,List_2_stim_10/female_10/freq_bins/12924-21328,List_2_stim_10/female_10/freq_bins/12924-21328,1.6880639108762807e-06,9.520068573465323e-07,1.6932881479192474e-06,0.0,0.0,0.0,0.0
